O*NET-SOC Code,Artistic,Conventional,Enterprising,Investigative,Realistic,Social
11-1011.00,2.67,5.33,7.0,2.0,1.33,3.67
11-1011.03,2.67,4.33,7.0,4.33,1.0,2.33
11-1021.00,1.0,3.67,7.0,1.33,1.33,3.33
11-1031.00,3.67,3.0,7.0,3.67,1.0,4.67
11-2011.00,5.33,4.67,7.0,2.0,1.67,2.33
11-2021.00,3.67,5.33,7.0,2.33,1.0,2.67
11-2022.00,2.0,4.67,7.0,2.0,3.0,3.67
11-3012.00,1.0,5.33,7.0,2.33,2.0,2.67
11-3021.00,1.67,5.33,6.67,4.33,4.0,1.67
11-3031.00,1.33,5.0,7.0,1.67,1.67,3.33
11-3031.01,1.0,7.0,6.0,2.67,1.67,2.67
11-3031.03,1.0,4.67,7.0,1.67,1.0,2.67
11-3051.00,1.33,6.0,7.0,2.33,2.67,3.33
11-3051.01,1.33,5.67,7.0,3.33,4.33,2.0
11-3051.02,2.0,5.67,7.0,3.33,3.67,1.67
11-3051.03,1.33,5.67,7.0,3.33,4.0,2.0
11-3051.04,1.33,5.67,7.0,3.0,5.0,2.0
11-3051.06,1.33,5.67,7.0,3.0,3.67,1.33
11-3061.00,1.33,5.33,7.0,2.0,2.67,2.67
11-3071.00,1.33,5.22,7.0,1.67,3.0,1.89
11-3071.04,1.67,4.67,7.0,2.0,2.67,2.33
11-3111.00,1.67,5.33,7.0,1.33,1.0,4.67
11-3121.00,2.33,5.0,7.0,2.33,1.33,5.67
11-3131.00,3.67,4.0,7.0,2.0,1.33,6.0
11-9013.00,1.89,4.78,7.0,2.89,6.22,2.0
11-9021.00,1.33,4.67,7.0,2.0,5.67,2.0
11-9031.00,2.67,4.0,6.0,1.67,1.0,6.0
11-9032.00,2.67,4.33,6.67,2.0,1.33,6.33
11-9033.00,3.0,5.0,7.0,3.0,1.0,4.67
11-9041.00,1.67,4.0,7.0,4.67,4.67,1.33
11-9041.01,1.67,3.33,6.67,6.0,3.0,2.0
11-9051.00,1.67,5.33,7.0,1.67,4.33,4.33
11-9071.00,1.67,5.0,7.0,2.0,3.33,3.0
11-9081.00,1.33,5.33,7.0,1.67,3.0,4.0
11-9111.00,1.67,5.0,7.0,3.33,1.67,5.0
11-9121.00,1.33,3.0,7.0,5.33,3.0,1.67
11-9121.01,2.67,4.33,6.33,5.33,1.33,2.0
11-9121.02,2.0,4.0,4.33,6.67,2.67,1.67
11-9131.00,1.0,5.67,7.0,1.67,3.0,4.33
11-9141.00,1.33,5.67,7.0,1.0,3.0,3.67
11-9151.00,2.67,3.33,6.67,1.33,1.0,6.0
11-9161.00,2.0,3.67,5.67,3.0,3.67,6.33
11-9171.00,2.0,4.67,7.0,2.0,1.33,4.33
11-9179.01,2.33,3.33,6.67,2.67,3.67,4.67
11-9179.02,2.0,5.0,7.0,1.0,3.33,4.33
11-9199.01,1.67,5.33,7.0,2.0,1.67,3.33
11-9199.02,1.33,5.67,5.33,3.67,3.67,1.67
11-9199.08,1.0,6.0,7.0,2.0,3.67,2.67
11-9199.09,1.67,5.67,6.67,3.0,4.0,1.33
11-9199.10,2.33,4.67,7.0,4.33,2.33,2.0
11-9199.11,2.0,4.67,6.67,5.33,3.0,1.67
13-1011.00,3.0,4.67,7.0,1.33,1.33,4.33
13-1021.00,1.67,6.0,6.33,1.33,4.0,2.67
13-1022.00,1.33,5.67,7.0,2.0,3.33,2.33
13-1023.00,1.0,6.67,6.33,2.67,3.67,2.0
13-1031.00,1.33,6.67,5.33,3.0,2.67,2.67
13-1032.00,1.0,6.67,4.33,2.0,5.67,2.33
13-1041.00,1.0,6.0,6.0,1.67,2.33,3.0
13-1041.01,2.0,6.0,2.0,6.0,5.0,2.0
13-1041.03,2.33,4.33,6.0,3.0,1.0,6.33
13-1041.04,1.0,6.67,4.33,3.0,3.67,2.0
